,company,n_rounds,startfund,endfund,duration,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,invest_9,invest_10,invest_11,invest_12,invest_13,invest_14,invest_15,invest_16,invest_17,invest_18,invest_19,invest_20,invest_21,invest_22,invest_23,invest_24,invest_25,invest_26,invest_27,invest_28,invest_29,invest_30,invest_31,time_gap_0-1,time_gap_1-2,time_gap_2-3,time_gap_3-4,time_gap_4-5,time_gap_5-6,time_gap_6-7,time_gap_7-8,time_gap_8-9,time_gap_9-10,time_gap_10-11,time_gap_11-12,time_gap_12-13,time_gap_13-14,time_gap_14-15,time_gap_15-16,time_gap_16-17,time_gap_17-18,time_gap_18-19,time_gap_19-20,time_gap_20-21,time_gap_21-22,time_gap_22-23,time_gap_23-24,time_gap_24-25,time_gap_25-26,time_gap_26-27,time_gap_27-28,time_gap_28-29,time_gap_29-30,time_gap_30-31,Company Status,Accountant,Banking Relationships,Company Founded Date,Total Funding to Date,indicator
0,Powertel_Inc,5,1991,1998,7,1.0,1.19,0.59,4.22,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acquisition,,,05/01/1989,7.12 USD Mil,4.0
1,Highpoint_Operating_Corp,9,2002,2008,6,80.0,25.5,33.5,25.0,28.0,30.0,20.0,13.0,20.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Went Public,Deloitte & Touche,,03/01/2002,275.22 USD Mil,1.0
2,Spinifex_Pharmaceuticals_Pty_Ltd,13,2005,2015,10,2.48,8.99,5.45,0.15,0.18,3.19,6.86,1.43,0.52,2.6,0.95,45.0,12.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pending Acquisition,,,06/01/2005,90.31 USD Mil,8.0
3,Teleservices_Acquisition_Corp,2,1998,1999,1,22.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acquisition,,,,22.45 USD Mil,10.0
4,Sotera_Wireless_Inc,13,2005,2017,12,3.0,1.0,0.65,1.04,0.5,20.3,6.7,6.7,10.75,9.71,14.8,20.71,31.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,1,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,,,01/01/2004,127.68 USD Mil,3.0
5,Camdens_Gifts_Inc,4,1999,2000,1,11.25,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defunct,,J.P. Morgan Chase & Co.,01/01/1999,11.25 USD Mil,10.0
6,Redsky_Technologies_Inc,1,2005,2005,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,,,01/01/1995,2.00 USD Mil,8.0
7,Portola_Pharmaceuticals_Inc,8,2003,2011,8,22.25,21.0,46.5,,70.0,60.0,45.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Went Public,,,11/01/2003,353.75 USD Mil,3.0
8,ArcStream_Solutions_Inc,3,2001,2003,2,5.0,2.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acquisition,Ernst & Young,Silicon Valley Bank,10/01/2000,11.50 USD Mil,8.0
9,Dataview_L_L_C,3,1998,1999,1,0.03,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,,,01/01/1996,0.33 USD Mil,10.0
